price,bed,bath,acre_lot,zip_code,house_size,year,month
599000.0,4.0,2.0,0.11,7032.0,2040.0,2000,2
599000.0,4.0,2.0,0.11,7032.0,2040.0,2000,2
599000.0,4.0,2.0,0.11,7032.0,2040.0,2000,2
599000.0,4.0,2.0,0.11,7032.0,2040.0,2000,2
599000.0,4.0,2.0,0.11,7032.0,2040.0,2000,2
599000.0,4.0,2.0,0.11,7032.0,2040.0,2000,2
599000.0,4.0,2.0,0.11,7032.0,2040.0,2000,2
599000.0,4.0,2.0,0.11,7032.0,2040.0,2000,2
399900.0,2.0,2.0,0.03,7052.0,2595.0,2000,3
399900.0,2.0,2.0,0.03,7052.0,2595.0,2000,3
399900.0,2.0,2.0,0.03,7052.0,2595.0,2000,3
499999.0,5.0,4.0,0.09,7072.0,1930.0,2000,3
399900.0,2.0,2.0,0.03,7052.0,2595.0,2000,3
399900.0,2.0,2.0,0.03,7052.0,2595.0,2000,3
399900.0,2.0,2.0,0.03,7052.0,2595.0,2000,3
1190000.0,5.0,3.0,0.89,7751.0,4137.0,2000,3
399900.0,2.0,2.0,0.03,7052.0,2595.0,2000,3
499999.0,5.0,4.0,0.09,7072.0,1930.0,2000,3
499999.0,5.0,4.0,0.09,7072.0,1930.0,2000,3
399900.0,2.0,2.0,0.03,7052.0,2595.0,2000,3
499999.0,5.0,4.0,0.09,7072.0,1930.0,2000,3
499999.0,5.0,4.0,0.09,7072.0,1930.0,2000,3
399900.0,2.0,2.0,0.03,7052.0,2595.0,2000,3
399900.0,2.0,2.0,0.03,7052.0,2595.0,2000,3
399900.0,2.0,2.0,0.03,7052.0,2595.0,2000,3
499999.0,5.0,4.0,0.09,7072.0,1930.0,2000,3
780000.0,4.0,3.0,1.05,8527.0,3242.0,2000,3
1190000.0,5.0,3.0,0.89,7751.0,4137.0,2000,3
1190000.0,5.0,3.0,0.89,7751.0,4137.0,2000,3
699000.0,3.0,2.0,18.9,7825.0,1860.0,2000,3
699000.0,3.0,2.0,18.9,7825.0,1860.0,2000,3
1699000.0,6.0,6.0,5.21,7931.0,7842.0,2000,3
699000.0,3.0,2.0,18.9,7825.0,1860.0,2000,3
239900.0,2.0,2.0,6.44,7865.0,1873.0,2000,3
239900.0,2.0,2.0,6.44,7865.0,1873.0,2000,3
1699000.0,6.0,6.0,5.21,7931.0,7842.0,2000,3
239900.0,2.0,2.0,6.44,7865.0,1873.0,2000,3
1699000.0,6.0,6.0,5.21,7931.0,7842.0,2000,3
1699000.0,6.0,6.0,5.21,7931.0,7842.0,2000,3
269000.0,3.0,1.0,0.16,8876.0,1237.0,2000,3
1699000.0,6.0,6.0,5.21,7931.0,7842.0,2000,3
269000.0,3.0,1.0,0.16,8876.0,1237.0,2000,3
399900.0,2.0,2.0,0.03,7052.0,2595.0,2000,3
